id,school_name,deviation,category,category_ja
1,大宮（理数）,72,PUBLIC,公立
2,浦和（普通）,71,PUBLIC,公立
3,大宮（普通）,71,PUBLIC,公立
4,浦和第一女子（普通）,69,PUBLIC,公立
5,市立浦和（普通）,68,PUBLIC,公立
6,川越（普通）,67,PUBLIC,公立
7,越谷北（理数）,67,PUBLIC,公立
8,春日部（普通）,66,PUBLIC,公立
9,川越女子（普通）,66,PUBLIC,公立
10,所沢北（理数）,65,PUBLIC,公立
11,蕨（普通）,65,PUBLIC,公立
12,不動岡（普通）,65,PUBLIC,公立
13,市立大宮北（理数）,64,PUBLIC,公立
14,越谷北（普通）,64,PUBLIC,公立
15,浦和西（普通）,63,PUBLIC,公立
16,川口市立（理数）,63,PUBLIC,公立
17,所沢北（普通）,63,PUBLIC,公立
18,蕨（外国語）,63,PUBLIC,公立
19,熊谷西（理数）,62,PUBLIC,公立
20,越ヶ谷（普通）,62,PUBLIC,公立
21,市立大宮北（普通）,61,PUBLIC,公立
22,川口市立（普通）,61,PUBLIC,公立
23,川口北（普通）,61,PUBLIC,公立
24,熊谷（普通）,61,PUBLIC,公立
25,和光国際（普通）,61,PUBLIC,公立
26,和光国際（外国語）,61,PUBLIC,公立
27,川越南（普通）,60,PUBLIC,公立
28,熊谷女子（普通）,60,PUBLIC,公立
29,松山（理数）,60,PUBLIC,公立
30,春日部女子（外国語）,59,PUBLIC,公立
31,熊谷西（普通）,59,PUBLIC,公立
32,所沢（普通）,59,PUBLIC,公立
33,市立浦和南（普通）,58,PUBLIC,公立
34,伊奈学園総合（普通系）,58,PUBLIC,公立
35,越谷南（普通）,58,PUBLIC,公立
36,上尾（普通）,57,PUBLIC,公立
37,春日部女子（普通）,57,PUBLIC,公立
38,春日部東（普通）,57,PUBLIC,公立
39,越谷南（外国語）,57,PUBLIC,公立
40,大宮光陵（美術）,56,PUBLIC,公立
41,坂戸（普通）,56,PUBLIC,公立
42,市立川越（普通）,56,PUBLIC,公立
43,与野（普通）,56,PUBLIC,公立
44,浦和北（普通）,55,PUBLIC,公立
45,坂戸（外国語）,55,PUBLIC,公立
46,所沢西（普通）,55,PUBLIC,公立
47,朝霞（普通）,54,PUBLIC,公立
48,伊奈学園総合（芸術系）,54,PUBLIC,公立
49,大宮光陵（普通）,54,PUBLIC,公立
50,川口（普通）,54,PUBLIC,公立
51,市立川越（情報処理）,54,PUBLIC,公立
52,杉戸（普通）,54,PUBLIC,公立
53,常盤（看護）,54,PUBLIC,公立
54,本庄（普通）,54,PUBLIC,公立
55,上尾（商業）,53,PUBLIC,公立
56,大宮光陵（外国語）,53,PUBLIC,公立
57,春日部東（人文）,53,PUBLIC,公立
58,草加（普通）,53,PUBLIC,公立
59,南稜（普通）,53,PUBLIC,公立
60,南稜（外国語）,53,PUBLIC,公立
61,松山（普通）,53,PUBLIC,公立
62,伊奈学園総合（スポーツ科学系）,52,PUBLIC,公立
63,川口市立（スポーツ科学）,52,PUBLIC,公立
64,芸術総合（映像芸術）,52,PUBLIC,公立
65,越谷総合技術（情報技術）,52,PUBLIC,公立
66,松山女子（普通）,52,PUBLIC,公立
67,大宮南（普通）,51,PUBLIC,公立
68,大宮光陵（音楽）,51,PUBLIC,公立
69,市立川越（国際経済）,51,PUBLIC,公立
70,豊岡（普通）,51,PUBLIC,公立
71,朝霞西（普通）,50,PUBLIC,公立
72,浦和商業（情報処理）,50,PUBLIC,公立
73,久喜（普通）,50,PUBLIC,公立
74,芸術総合（美術）,50,PUBLIC,公立
75,越谷総合技術（食物調理）,50,PUBLIC,公立
76,越谷西（普通）,50,PUBLIC,公立
77,草加南（普通）,50,PUBLIC,公立
78,草加南（外国語）,50,PUBLIC,公立
79,草加東（普通）,50,PUBLIC,公立
80,秩父（普通）,50,PUBLIC,公立
81,新座総合技術（デザイン）,50,PUBLIC,公立
82,深谷第一（普通）,50,PUBLIC,公立
83,入間向陽（普通）,49,PUBLIC,公立
84,岩槻（普通）,49,PUBLIC,公立
85,岩槻（国際文化）,49,PUBLIC,公立
86,川越総合（総合）,49,PUBLIC,公立
87,久喜北陽（総合）,49,PUBLIC,公立
88,新座総合技術（情報技術）,49,PUBLIC,公立
89,鳩ヶ谷（普通）,49,PUBLIC,公立
90,深谷商業（情報処理）,49,PUBLIC,公立
91,浦和東（普通）,48,PUBLIC,公立
92,大宮光陵（書道）,48,PUBLIC,公立
93,桶川（普通）,48,PUBLIC,公立
94,川越工業（デザイン）,48,PUBLIC,公立
95,川越工業（電気）,48,PUBLIC,公立
96,鴻巣（普通）,48,PUBLIC,公立
97,坂戸西（普通）,48,PUBLIC,公立
98,新座総合技術（食物調理）,48,PUBLIC,公立
99,越谷総合技術（情報処理）,47,PUBLIC,公立
100,狭山経済（情報処理）,47,PUBLIC,公立
101,志木（普通）,47,PUBLIC,公立
102,深谷商業（商業）,47,PUBLIC,公立
103,いずみ（生物系）,46,PUBLIC,公立
104,浦和商業（商業）,46,PUBLIC,公立
105,川越工業（建築）,46,PUBLIC,公立
106,川越西（普通）,46,PUBLIC,公立
107,熊谷工業（情報技術）,46,PUBLIC,公立
108,芸術総合（音楽）,46,PUBLIC,公立
109,越谷東（普通）,46,PUBLIC,公立
110,所沢中央（普通）,46,PUBLIC,公立
111,新座総合技術（総合ビジネス）,46,PUBLIC,公立
112,新座総合技術（服飾デザイン）,46,PUBLIC,公立
113,鳩ヶ谷（情報処理）,46,PUBLIC,公立
114,大宮東（普通）,45,PUBLIC,公立
115,春日部工業（建築）,45,PUBLIC,公立
116,川口東（普通）,45,PUBLIC,公立
117,久喜工業（情報技術）,45,PUBLIC,公立
118,熊谷商業（総合ビジネス）,45,PUBLIC,公立
119,越谷総合技術（電子機械）,45,PUBLIC,公立
120,滑川総合（総合）,45,PUBLIC,公立
121,新座総合技術（電子機械）,45,PUBLIC,公立
122,鳩ヶ谷（園芸デザイン）,45,PUBLIC,公立
123,羽生第一（普通）,45,PUBLIC,公立
124,深谷商業（会計）,45,PUBLIC,公立
125,松伏（音楽）,45,PUBLIC,公立
126,鷲宮（普通）,45,PUBLIC,公立
127,いずみ（環境系）,44,PUBLIC,公立
128,大宮東（体育）,44,PUBLIC,公立
129,春日部工業（機械）,44,PUBLIC,公立
130,川越工業（化学）,44,PUBLIC,公立
131,川越工業（機械）,44,PUBLIC,公立
132,熊谷工業（建築）,44,PUBLIC,公立
133,鴻巣（商業）,44,PUBLIC,公立
134,鴻巣女子（家政科学）,44,PUBLIC,公立
135,越谷総合技術（流通経済）,44,PUBLIC,公立
136,庄和（普通）,44,PUBLIC,公立
137,杉戸農業（生物生産技術）,44,PUBLIC,公立
138,草加西（普通）,44,PUBLIC,公立
139,秩父農工科学（フードデザイン）,44,PUBLIC,公立
140,新座柳瀬（普通）,44,PUBLIC,公立
141,三郷北（普通）,44,PUBLIC,公立
142,三郷工業技術（情報技術）,44,PUBLIC,公立
143,上尾南（普通）,43,PUBLIC,公立
144,上尾鷹の台（普通）,43,PUBLIC,公立
145,大宮商業（商業）,43,PUBLIC,公立
146,小川（普通）,43,PUBLIC,公立
147,春日部工業（電気）,43,PUBLIC,公立
148,熊谷工業（電気）,43,PUBLIC,公立
149,鴻巣女子（保育）,43,PUBLIC,公立
150,狭山経済（流通経済）,43,PUBLIC,公立
151,狭山経済（会計）,43,PUBLIC,公立
152,進修館（情報メディア）,43,PUBLIC,公立
153,杉戸農業（生活技術）,43,PUBLIC,公立
154,杉戸農業（食品流通）,43,PUBLIC,公立
155,大宮武蔵野（普通）,42,PUBLIC,公立
156,大宮工業（電気）,42,PUBLIC,公立
157,大宮工業（建築）,42,PUBLIC,公立
158,大宮工業（電子機械）,42,PUBLIC,公立
159,川口青陵,42,PUBLIC,公立
160,熊谷農業（食品科学）,42,PUBLIC,公立
161,久喜工業（環境科学）,42,PUBLIC,公立
162,熊谷農業（生物生産工学）,42,PUBLIC,公立
163,越谷総合技術（服飾デザイン）,42,PUBLIC,公立
164,狭山清陵（普通）,42,PUBLIC,公立
165,進修館（総合）,42,PUBLIC,公立
166,秩父農工科学（農業）,42,PUBLIC,公立
167,秩父農工科学（電気システム）,42,PUBLIC,公立
168,秩父農工科学（ライフデザイン）,42,PUBLIC,公立
169,所沢商業（情報処理）,42,PUBLIC,公立
170,飯能（普通）,42,PUBLIC,公立
171,深谷（普通）,42,PUBLIC,公立
172,松伏（普通）,42,PUBLIC,公立
173,松伏（情報ビジネス）,42,PUBLIC,公立
174,三郷工業技術（情報電子）,42,PUBLIC,公立
175,八潮南（情報処理）,42,PUBLIC,公立
176,岩槻商業（情報処理）,41,PUBLIC,公立
177,大宮工業（機械）,41,PUBLIC,公立
178,越生（美術）,41,PUBLIC,公立
179,久喜工業（工業化学）,41,PUBLIC,公立
180,熊谷工業（機械）,41,PUBLIC,公立
181,熊谷農業（生活技術）,41,PUBLIC,公立
182,鴻巣女子（普通）,41,PUBLIC,公立
183,杉戸農業（園芸）,41,PUBLIC,公立
184,誠和福祉（総合）,41,PUBLIC,公立
185,秩父農工科学（食品科学）,41,PUBLIC,公立
186,三郷工業技術（電子機械）,41,PUBLIC,公立
187,八潮南（普通）,41,PUBLIC,公立
188,寄居城北（総合）,41,PUBLIC,公立
189,岩槻商業（商業）,40,PUBLIC,公立
190,北本（普通）,40,PUBLIC,公立
191,久喜工業（電気）,40,PUBLIC,公立
192,久喜工業（機械）,40,PUBLIC,公立
193,狭山工業（電子機械）,40,PUBLIC,公立
194,狭山工業（電気）,40,PUBLIC,公立
195,白岡（普通）,40,PUBLIC,公立
196,杉戸農業（生物生産工学）,40,PUBLIC,公立
197,誠和福祉（福祉）,40,PUBLIC,公立
198,秩父農工科学（機械システム）,40,PUBLIC,公立
199,所沢商業（ビジネス会計）,40,PUBLIC,公立
200,羽生実業（農業経済）,40,PUBLIC,公立
201,羽生実業（商業）,40,PUBLIC,公立
202,日高（情報）,40,PUBLIC,公立
203,富士見（普通）,40,PUBLIC,公立
204,ふじみ野（普通）,40,PUBLIC,公立
205,三郷工業技術（電気）,40,PUBLIC,公立
206,宮代（普通）,40,PUBLIC,公立
207,上尾橘（普通）,39,PUBLIC,公立
208,小鹿野（普通）,39,PUBLIC,公立
209,桶川西（普通）,39,PUBLIC,公立
210,越生（普通）,39,PUBLIC,公立
211,川口工業（機械）,39,PUBLIC,公立
212,川口工業（電気）,39,PUBLIC,公立
213,川口工業（情報通信）,39,PUBLIC,公立
214,川越初雁（普通）,39,PUBLIC,公立
215,熊谷工業（土木）,39,PUBLIC,公立
216,熊谷農業（生物生産技術）,39,PUBLIC,公立
217,栗橋北彩（普通）,39,PUBLIC,公立
218,児玉（普通）,39,PUBLIC,公立
219,児玉（生物資源）,39,PUBLIC,公立
220,児玉（環境デザイン）,39,PUBLIC,公立
221,児玉（機械）,39,PUBLIC,公立
222,児玉（電子機械）,39,PUBLIC,公立
223,幸手桜（総合）,39,PUBLIC,公立
224,狭山工業（機械）,39,PUBLIC,公立
225,進修館（電気システム）,39,PUBLIC,公立
226,進修館（ものづくり）,39,PUBLIC,公立
227,杉戸農業（造園）,39,PUBLIC,公立
228,秩父農工科学（森林科学）,39,PUBLIC,公立
229,妻沼（普通）,39,PUBLIC,公立
230,鶴ヶ島清風（普通）,39,PUBLIC,公立
231,所沢商業（国際流通）,39,PUBLIC,公立
232,新座（普通）,39,PUBLIC,公立
233,蓮田松韻（普通）,39,PUBLIC,公立
234,羽生実業（園芸）,39,PUBLIC,公立
235,羽生実業（農業経済）,39,PUBLIC,公立
236,羽生実業（情報処理）,39,PUBLIC,公立
237,日高（普通）,39,PUBLIC,公立
238,ふじみ野（スポーツサイエンス）,39,PUBLIC,公立
239,三郷（普通）,39,PUBLIC,公立
240,三郷工業技術（機械）,39,PUBLIC,公立
241,八潮南（商業）,39,PUBLIC,公立
242,吉川美南（総合）,39,PUBLIC,公立
243,開智高校（T:1号特待）,73,PRIVATE,私立
244,大宮開成高校（併願①特進選抜先進）,72,PRIVATE,私立
245,開智高校（T:2号特待）,72,PRIVATE,私立
246,秀明高校（Sコース）,72,PRIVATE,私立
247,城北埼玉高校（本科特進:S特待）,72,PRIVATE,私立
248,開智高校（SI:準特待）,71,PRIVATE,私立
249,栄東高校（東・医）,71,PRIVATE,私立
250,淑徳与野高校（T類）,71,PRIVATE,私立
251,大宮開成高校（併願②特進選抜先進）,70,PRIVATE,私立
252,大宮開成高校（併願①特進選抜Ⅰ類）,70,PRIVATE,私立
253,開智高校（SI）,70,PRIVATE,私立
254,春日部共栄高校（東大選抜）,70,PRIVATE,私立
255,春日部共栄高校（選抜）,70,PRIVATE,私立
256,川越東高校（理数）,70,PRIVATE,私立
257,栄東高校（α）,70,PRIVATE,私立
258,淑徳与野高校（SS類）,70,PRIVATE,私立
259,淑徳与野高校（SA類）,70,PRIVATE,私立
260,昌平高校（T特選）,70,PRIVATE,私立
261,城北埼玉高校（本科特進:A特待）,70,PRIVATE,私立
262,星野高校（Ⅲ類特進選抜）,70,PRIVATE,私立
263,星野高校（S類特進選抜）,70,PRIVATE,私立
264,星野高校（医専）,70,PRIVATE,私立
265,細田学園高校（特進H理数コース）,70,PRIVATE,私立
266,細田学園高校（特進H）,70,PRIVATE,私立
267,浦和学院高校（T特）,69,PRIVATE,私立
268,浦和麗明高校（特選Ⅰ類）,69,PRIVATE,私立
269,開智高校（S2）,69,PRIVATE,私立
270,淑徳与野高校（R類）,69,PRIVATE,私立
271,淑徳与野高校（MS類）,69,PRIVATE,私立
272,西武学園文理高校（アカデミックチャレンジ）,69,PRIVATE,私立
273,大宮開成高校（併願②特進選抜Ⅰ類）,68,PRIVATE,私立
274,埼玉栄高校（α選抜）,68,PRIVATE,私立
275,正智深谷高校（特選）,68,PRIVATE,私立
