id,school_name,deviation,category,category_ja
243,開智高校（T:1号特待）,73,PRIVATE,私立
244,大宮開成高校（併願①特進選抜先進）,72,PRIVATE,私立
245,開智高校（T:2号特待）,72,PRIVATE,私立
246,秀明高校（Sコース）,72,PRIVATE,私立
247,城北埼玉高校（本科特進:S特待）,72,PRIVATE,私立
248,開智高校（SI:準特待）,71,PRIVATE,私立
249,栄東高校（東・医）,71,PRIVATE,私立
250,淑徳与野高校（T類）,71,PRIVATE,私立
251,大宮開成高校（併願②特進選抜先進）,70,PRIVATE,私立
252,大宮開成高校（併願①特進選抜Ⅰ類）,70,PRIVATE,私立
253,開智高校（SI）,70,PRIVATE,私立
254,春日部共栄高校（東大選抜）,70,PRIVATE,私立
255,春日部共栄高校（選抜）,70,PRIVATE,私立
256,川越東高校（理数）,70,PRIVATE,私立
257,栄東高校（α）,70,PRIVATE,私立
258,淑徳与野高校（SS類）,70,PRIVATE,私立
259,淑徳与野高校（SA類）,70,PRIVATE,私立
260,昌平高校（T特選）,70,PRIVATE,私立
261,城北埼玉高校（本科特進:A特待）,70,PRIVATE,私立
262,星野高校（Ⅲ類特進選抜）,70,PRIVATE,私立
263,星野高校（S類特進選抜）,70,PRIVATE,私立
264,星野高校（医専）,70,PRIVATE,私立
265,細田学園高校（特進H理数コース）,70,PRIVATE,私立
266,細田学園高校（特進H）,70,PRIVATE,私立
267,浦和学院高校（T特）,69,PRIVATE,私立
268,浦和麗明高校（特選Ⅰ類）,69,PRIVATE,私立
269,開智高校（S2）,69,PRIVATE,私立
270,淑徳与野高校（R類）,69,PRIVATE,私立
271,淑徳与野高校（MS類）,69,PRIVATE,私立
272,西武学園文理高校（アカデミックチャレンジ）,69,PRIVATE,私立
273,大宮開成高校（併願②特進選抜Ⅰ類）,68,PRIVATE,私立
274,埼玉栄高校（α選抜）,68,PRIVATE,私立
275,正智深谷高校（特選）,68,PRIVATE,私立
276,城北埼玉高校（本科特進:B特待）,68,PRIVATE,私立
277,本庄東高校（選抜）,68,PRIVATE,私立
278,浦和麗明高校（特選Ⅱ類）,67,PRIVATE,私立
279,大宮開成高校（併願①特進選抜Ⅱ類）,67,PRIVATE,私立
280,春日部共栄高校（特進α）,67,PRIVATE,私立
281,城西大付嘱川越高校（特選）,67,PRIVATE,私立
282,昌平高校（IB）,67,PRIVATE,私立
283,昌平高校（特進アスリート）,67,PRIVATE,私立
